MAX_Q: 5 | TOT_ANGS: 200
Cos(th)   sinq0   sinq1   sinq2   sinq3   sinq4   sinq5   
0.185   0   -0.0130951   -0.144929   0.0431015   0.103955   -1.10521e-17   
0.195   0   -0.0128975   -0.143354   0.0428473   0.103138   -2.56482e-17   
0.205   0   -0.0126901   -0.141705   0.0425804   0.102282   -1.04287e-17   
0.215   0   -0.0124732   -0.139983   0.0423007   0.101387   3.67951e-18   
0.225   0   -0.0122467   -0.138189   0.0420083   0.100454   -7.63007e-18   
0.235   0   -0.0120109   -0.136325   0.0417033   0.099483   2.3168e-17   
0.245   0   -0.0117658   -0.134392   0.0413859   0.0984747   6.51877e-18   
0.255   0   -0.0115116   -0.132392   0.0410561   0.0974298   -3.46199e-17   
0.265   0   -0.0112484   -0.130327   0.0407141   0.0963491   -2.56549e-17   
0.275   0   -0.0109763   -0.128198   0.0403599   0.0952332   -2.04304e-17   
0.285   0   -0.0106955   -0.126008   0.0399937   0.0940828   -1.7747e-17   
0.295   0   -0.0104062   -0.123757   0.0396156   0.0928987   2.30257e-17   
0.305   0   -0.0101085   -0.121448   0.0392257   0.0916817   1.74828e-18   
0.315   0   -0.00980266   -0.119083   0.0388242   0.0904325   -3.34815e-17   
0.325   0   -0.00948873   -0.116664   0.0384112   0.089152   -3.32511e-17   
0.335   0   -0.00916697   -0.114192   0.0379868   0.0878411   -1.82214e-17   
0.345   0   -0.00883754   -0.111671   0.0375512   0.0865006   -1.89735e-19   
0.355   0   -0.00850067   -0.109103   0.0371045   0.0851314   2.00035e-17   
0.365   0   -0.00815655   -0.106489   0.0366469   0.0837346   2.25379e-17   
0.375   0   -0.0078054   -0.103832   0.0361786   0.0823109   -9.60197e-18   
0.385   0   -0.00744744   -0.101134   0.0356998   0.0808615   4.89043e-17   
0.395   0   -0.00708291   -0.098399   0.0352105   0.0793873   6.18673e-18   
0.405   0   -0.00671204   -0.0956283   0.0347111   0.0778894   -1.16653e-17   
0.415   0   -0.00633509   -0.0928247   0.0342016   0.0763689   -6.81658e-17   
0.425   0   -0.00595233   -0.0899912   0.0336823   0.0748268   -3.38305e-17   
0.435   0   -0.00556401   -0.0871303   0.0331534   0.0732643   -1.10589e-17   
0.445   0   -0.00517041   -0.084245   0.0326152   0.0716826   -1.29799e-17   
0.455   0   -0.00477184   -0.0813381   0.0320677   0.0700827   -3.98444e-17   
0.465   0   -0.00436858   -0.0784127   0.0315112   0.068466   -2.41946e-17   
0.475   0   -0.00396096   -0.0754717   0.030946   0.0668336   -1.81502e-17   
0.485   0   -0.00354928   -0.0725183   0.0303724   0.0651868   -3.86213e-17   
0.495   0   -0.0031339   -0.0695556   0.0297904   0.0635268   -1.1008e-17   
0.505   0   -0.00271516   -0.0665869   0.0292005   0.0618551   -2.37847e-17   
0.515   0   -0.00229343   -0.0636154   0.0286029   0.0601729   -6.55265e-18   
0.525   0   -0.00186907   -0.0606445   0.0279978   0.0584816   -9.00904e-18   
0.535   0   -0.00144248   -0.0576777   0.0273855   0.0567825   -2.22634e-17   
