MAX_Q: 5 | TOT_ANGS: 200
Cos(th)   cosq0   cosq1   cosq2   cosq3   cosq4   cosq5   
0.425   0.547497   0.0633163   -0.072006   -0.00310504   -0.0166643   -4.98733e-18   
0.435   0.540882   0.0629834   -0.0697643   -0.00305628   -0.0163163   -1.0842e-19   
0.445   0.53421   0.0626409   -0.067503   -0.00300666   -0.0159641   1.24683e-17   
0.455   0.527487   0.0622888   -0.0652246   -0.00295619   -0.0156078   -6.07153e-18   
0.465   0.520721   0.0619267   -0.0629312   -0.00290489   -0.0152477   1.38778e-17   
0.475   0.513917   0.0615545   -0.0606251   -0.00285279   -0.0148842   -4.38018e-17   
0.485   0.507084   0.0611721   -0.0583089   -0.00279991   -0.0145174   -2.9924e-17   
0.495   0.500229   0.0607792   -0.055985   -0.00274626   -0.0141477   -1.44199e-17   
0.505   0.493359   0.0603756   -0.0536558   -0.00269188   -0.0137754   -4.44523e-18   
0.515   0.486481   0.0599612   -0.0513239   -0.00263678   -0.0134008   -1.72388e-17   
0.525   0.479603   0.0595356   -0.048992   -0.002581   -0.0130241   -1.12757e-17   
0.535   0.472734   0.0590988   -0.0466627   -0.00252456   -0.0126457   -2.02746e-17   
0.545   0.465881   0.0586503   -0.0443387   -0.00246747   -0.012266   2.09251e-17   
0.555   0.459052   0.0581899   -0.0420227   -0.00240979   -0.0118851   -1.4203e-17   
0.565   0.452256   0.0577174   -0.0397177   -0.00235152   -0.0115035   1.11673e-17   
0.575   0.445501   0.0572325   -0.0374263   -0.0022927   -0.0111214   -1.10589e-17   
0.585   0.438796   0.0567347   -0.0351517   -0.00223336   -0.0107393   -1.52873e-17   
0.595   0.43215   0.0562239   -0.0328966   -0.00217353   -0.0103575   -5.20417e-18   
0.605   0.425571   0.0556996   -0.0306642   -0.00211325   -0.00997622   1.50704e-17   
0.615   0.419069   0.0551614   -0.0284575   -0.00205255   -0.00959595   -2.1684e-17   
0.625   0.412653   0.0546089   -0.0262797   -0.00199145   -0.00921703   1.73472e-18   
0.635   0.406331   0.0540417   -0.0241338   -0.00193001   -0.00883981   1.4962e-17   
0.645   0.400115   0.0534594   -0.0220232   -0.00186825   -0.00846467   -1.0842e-19   
0.655   0.394013   0.0528614   -0.0199511   -0.00180621   -0.008092   1.02999e-17   
0.665   0.388035   0.0522471   -0.0179208   -0.00174394   -0.00772218   -1.1601e-17   
0.675   0.382192   0.0516161   -0.0159357   -0.00168147   -0.0073556   -3.14419e-18   
0.685   0.376493   0.0509676   -0.0139992   -0.00161886   -0.00699266   -8.89046e-18   
